dt,open,high,low,close,volume,Rsi7,Rsi14,Rsi26,ema7,ema12,ema26,sma7,sma14,sma26,bollup,bolldown,sma20,macd
1/30/2022,38166.83,38359.26,37351.63,37881.76,21430.67,43.36,36.81,37.2,37336.18,38254.82,40386.05,37336.18,38542.83,40386.05,45744.1,33697.62,39720.86,-2131.230000000003
1/31/2022,37881.75,38744.0,36632.61,38466.9,36855.25,50.79,40.28,38.77,37594.26,38287.45,40243.9,37594.26,38532.71,40243.9,45382.6,33632.88,39507.74,-1956.4500000000044
2/1/2022,38466.9,39265.2,38000.0,38694.59,34574.45,53.56,41.62,39.39,37842.3,38350.09,40129.14,37842.3,38554.29,40129.14,44752.0,33742.68,39247.34,-1779.050000000003
2/2/2022,38694.59,38855.92,36586.95,36896.36,35794.68,35.28,34.93,36.39,37854.73,38126.43,39889.69,37854.73,38333.24,39889.69,44332.27,33596.03,38964.15,-1763.260000000002
2/3/2022,36896.37,37387.0,36250.0,37311.61,32081.11,40.73,37.43,37.53,37876.37,38001.07,39698.73,37876.37,38197.03,39698.73,43727.69,33625.77,38676.73,-1697.6600000000035
2/4/2022,37311.98,41772.33,37026.73,41574.25,64703.96,70.49,56.09,47.57,38427.47,38550.8,39837.65,38427.47,38647.31,39837.65,43414.31,33788.15,38601.23,-1286.8499999999985
2/5/2022,41571.7,41913.69,40843.01,41382.59,32532.34,68.68,55.29,47.21,38886.87,38986.47,39952.08,38886.87,39012.0,39952.08,43050.78,33982.78,38516.78,-965.6100000000006
2/6/2022,41382.6,42656.0,41116.56,42380.87,22405.17,72.91,58.59,49.26,39529.6,39508.7,40131.98,39529.6,39461.17,40131.98,43091.0,33960.48,38525.74,-623.2800000000061
2/7/2022,42380.87,44500.5,41645.85,43839.99,51060.62,77.97,62.91,52.09,40297.18,40175.07,40406.63,40297.18,40045.0,40406.63,43466.49,33733.77,38600.13,-231.55999999999767
2/8/2022,43839.99,45492.0,42666.0,44042.99,64880.29,78.62,63.48,52.47,41061.24,40770.15,40675.98,41061.24,40578.05,40675.98,44000.12,33438.44,38719.28,94.16999999999825
2/9/2022,44043.0,44799.0,43117.92,44372.72,34428.17,79.75,64.44,53.1,42129.29,41324.41,40949.8,42129.29,41083.99,40949.8,44705.81,33101.93,38903.87,374.6100000000006
2/10/2022,44372.71,45821.0,43174.01,43495.44,62357.29,68.51,59.94,51.22,43012.69,41658.42,41138.36,43012.69,41405.51,41138.36,45281.76,33231.0,39256.38,520.0599999999977
2/11/2022,43495.44,43920.0,41938.51,42373.73,44975.17,56.6,54.68,48.9,43126.9,41768.47,41229.86,43126.9,41534.6,41229.86,45461.23,33781.75,39621.49,538.6100000000006
2/12/2022,42373.73,43079.49,41688.88,42217.87,26556.86,55.05,53.97,48.59,43246.23,41837.61,41303.04,43246.23,41625.7,41303.04,45642.52,34197.8,39920.16,534.5699999999997
2/13/2022,42217.87,42760.0,41870.0,42053.66,17732.08,53.26,53.19,48.24,43199.49,41870.85,41358.64,43199.49,41682.76,41358.64,45771.98,34607.66,40189.82,512.2099999999991
2/14/2022,42053.65,42842.4,41550.56,42535.94,34010.13,57.95,55.24,49.33,43013.19,41973.17,41445.84,43013.19,41796.51,41445.84,45927.03,35010.39,40468.71,527.3300000000017
2/15/2022,42535.94,44751.4,42427.03,44544.86,38095.2,71.74,62.59,53.58,43084.89,42368.82,41675.38,43084.89,42162.95,41675.38,46318.28,35392.68,40855.48,693.4400000000023
